"sp" "body_mass_g.avg." "fossorial" "ground_dwelling" "aboveground_dwelling" "aquatic" "cathemeral" "crepuscular" "diurnal" "nocturnal"
"183" "Phaenomys_ferrugineus" "93.8" 0 1 1 0 0 0 0 1
"184" "Philander_frenatus" "625.5" 0 1 1 0 0 0 0 1
"186" "Phyllomys_blainvillii" "243.3" 0 0 1 0 0 0 0 1
"187" "Phyllomys_dasythrix" "260" 0 0 1 0 0 0 0 1
"188" "Phyllomys_kerri" "235" 0 0 1 0 0 0 0 1
"189" "Phyllomys_lamarum" "215.19" 0 0 1 0 0 0 0 1
"190" "Phyllomys_lundi" "173.5" 0 0 1 0 0 0 0 1
"191" "Phyllomys_mantiqueirensis" "207" 0 0 1 0 0 0 0 1
"192" "Phyllomys_medius" "150" 0 0 1 0 0 0 0 1
"193" "Phyllomys_nigrispinus" "224.3" 0 0 1 0 0 0 0 1
"194" "Phyllomys_pattoni" "212.3" 0 0 1 0 0 0 0 1
"195" "Phyllomys_sulinus" "190" NA NA NA NA NA NA NA NA
"196" "Phyllomys_thomasi" "502.14" 0 0 1 0 0 0 0 1
"197" "Phyllomys_unicolor" "439" 0 0 1 0 0 0 0 1
"198" "Potos_flavus" "2441.81" 0 0 1 0 0 0 0 1
"199" "Priodontes_maximus" "40641.89" 1 0 0 0 0 0 0 1
"200" "Procyon_cancrivorus" "6931.72" 0 1 0 0 0 0 0 1
"201" "Proechimys_longicaudatus" "205" 0 1 0 0 0 0 0 1
"203" "Pseudoryzomys_simplex" "45.2" 0 1 0 1 0 0 0 1
"204" "Pteronura_brasiliensis" "26000" 0 0 0 1 0 0 1 0
"205" "Puma_concolor" "53954.05" 0 1 0 0 0 0 0 1
"207" "Reithrodon_typicus" "85" 0 1 0 0 0 0 0 1
"208" "Rhagomys_rufescens" "21.2" 0 1 1 0 0 0 0 1
"209" "Rhipidomys_itoan" NA NA NA NA NA NA NA NA NA
"210" "Rhipidomys_macrurus" "30" 0 0 1 0 0 0 0 1
"211" "Rhipidomys_mastacalis" "100" 0 0 1 0 0 0 0 1
"212" "Rhipidomys_tribei" NA NA NA NA NA NA NA NA NA
"213" "Sapajus_cay" "3075" 0 0 1 0 0 0 1 0
"214" "Sapajus_flavius" "2400" 0 0 1 0 0 0 1 0
"215" "Sapajus_libidinosus" "2851.29" 0 0 1 0 0 0 1 0
"216" "Sapajus_nigritus" "2851.29" 0 0 1 0 0 0 1 0
"217" "Sapajus_robustus" "2851.29" 0 0 1 0 0 0 1 0
"218" "Sapajus_xanthosternos" "3050" 0 0 1 0 0 0 1 0
"220" "Scapteromys_tumidus" "146" 0 1 0 1 1 0 0 0
"221" "Sciurus_aestuans" "177.34" 0 1 1 0 0 0 1 0
"222" "Sooretamys_angouya" "120.17" 0 1 1 0 0 0 0 1
"223" "Speothos_venaticus" "6324.54" 0 1 0 0 0 0 1 0
"224" "Sylvilagus_brasiliensis" "863.5" 0 1 0 0 0 1 0 1
"225" "Sylvilagus_tapetillus" "968.37" NA NA NA NA NA NA NA NA
