"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"180" "Mesembrinibis_cayennensis" "756" 0 0 40 60 0 0 0 0 0
"181" "Microspingus_lateralis" NA NA 0 0 100 0 0 0 0 0
"183" "Sporophila_nigricollis" NA NA 0 0 30 70 0 0 0 0
"184" "Tangara_ornata" "33" 0 0 0 10 10 20 60 0 0
"185" "Tangara_sayaca" "32.49" 0 0 0 10 0 20 70 0 0
"186" "Notharchus_swainsoni" "60.72" 0 0 0 33 33 33 0 0 0
"189" "Megascops_choliba" "132" 1 0 0 40 50 0 0 10 0
"190" "Megascops_atricapilla" "118.89" 1 0 0 10 10 20 60 0 0
"191" "Megascops_sanctaecatarinae" "179.72" 1 0 0 50 50 0 0 0 0
"192" "Melanerpes_flavifrons" "57.78" 0 0 0 0 50 50 0 0 0
"193" "Melanerpes_candidus" "108" 0 0 0 0 50 50 0 0 0
"194" "Systellura_longirostris" "45.6" 1 0 0 0 50 40 0 10 0
"195" "Mitu_mitu" "2850.47" 0 0 0 100 0 0 0 0 0
"196" "Neocrex_erythrops" "58.3" 0 0 20 80 0 0 0 0 0
"197" "Neomorphus_geoffroyi" "355.03" 0 0 0 100 0 0 0 0 0
"198" "Micrastur_mintoni" "209.5" 0 0 0 0 100 0 0 0 0
"199" "Micrastur_mirandollei" "548.99" 0 0 0 0 50 50 0 0 0
"200" "Micrastur_semitorquatus" "621.68" 0 0 0 50 30 20 0 0 0
"201" "Micropygia_schomburgkii" "31.2" 0 0 0 60 40 0 0 0 0
"202" "Milvago_chimachima" "315.21" 0 0 0 100 0 0 0 0 0
"203" "Momotus_momota" "114.96" 0 0 0 30 30 30 10 0 0
"204" "Monasa_morphoeus" "87.9" 0 0 0 33 33 33 0 0 0
"205" "Monasa_nigrifrons" "80.7" 0 0 0 40 40 20 0 0 0
"206" "Nomonyx_dominicus" "364.97" 0 100 0 0 0 0 0 0 0
"207" "Nonnula_rubecula" "18.4" 0 0 0 50 50 0 0 0 0
"208" "Nothura_boraquira" "283" 0 0 0 100 0 0 0 0 0
"209" "Numenius_borealis" "350.11" 0 0 0 80 20 0 0 0 0
"210" "Nyctibius_aethereus" "440.45" 1 0 0 0 0 80 20 0 0
"211" "Nyctibius_leucopterus" "86.4" 1 0 0 0 0 90 0 10 0
"212" "Nyctipolus_hirundinaceus" "57.51" 1 0 0 0 20 20 0 60 0
"213" "Nystalus_chacuru" "52.3" 0 0 0 33 33 33 0 0 0
"214" "Nystalus_maculatus" "42" 0 0 0 33 33 33 0 0 0
"215" "Odontophorus_capueira" "425.4" 0 0 0 100 0 0 0 0 0
"217" "Oxyura_vittata" "642.68" 0 100 0 0 0 0 0 0 0
"218" "Pardirallus_nigricans" "217" 0 0 60 40 0 0 0 0 0
"219" "Pardirallus_sanguinolentus" "232" 0 0 20 80 0 0 0 0 0
"220" "Porphyrio_flavirostris" "92.64" 0 0 20 60 20 0 0 0 0
"221" "Patagioenas_maculosa" "347" 0 0 0 80 20 0 0 0 0
"222" "Penelope_superciliaris" "894.99" 0 0 0 33 0 33 33 0 0
"223" "Patagioenas_picazuro" "279" 0 0 0 30 30 30 10 0 0
"224" "Patagioenas_plumbea" "178.77" 0 0 0 0 0 30 70 0 0
"225" "Patagioenas_speciosa" "258.47" 0 0 0 30 20 30 20 0 0
"226" "Vanellus_chilensis" "327" 0 0 20 80 0 0 0 0 0
"227" "Penelope_obscura" "1770" 0 0 0 30 30 30 10 0 0
"228" "Penelope_jacucaca" "1282" 0 0 0 20 0 40 40 0 0
"229" "Phaethornis_eurynome" "5.3" 0 0 0 0 100 0 0 0 0
"230" "Veniliornis_affinis" "34.83" 0 0 0 0 0 60 40 0 0
"231" "Phaethornis_idaliae" "2.6" 0 0 0 0 100 0 0 0 0
"232" "Phaethornis_malaris" "5.9" 0 0 0 0 100 0 0 0 0
"233" "Phaethornis_pretrei" "5.6" 0 0 0 0 100 0 0 0 0
"234" "Phaethornis_ruber" "2.4" 0 0 0 0 100 0 0 0 0
"235" "Phaethornis_squalidus" "3.4" 0 0 0 0 100 0 0 0 0
"236" "Phaetusa_simplex" "235" 0 50 30 10 10 0 0 0 0
