"sp" "BodyMass.Value" "Nocturnal" "ForStrat.watbelowsurf" "ForStrat.wataroundsurf" "ForStrat.ground" "ForStrat.understory" "ForStrat.midhigh" "ForStrat.canopy" "ForStrat.aerial" "PelagicSpecialist"
"231" "Geositta_poeciloptera" "17.97" 0 0 0 100 0 0 0 0 0
"232" "Geothlypis_aequinoctialis" "13.1" 0 0 0 0 100 0 0 0 0
"233" "Geotrygon_violacea" "95.2" 0 0 0 100 0 0 0 0 0
"234" "Geranoaetus_melanoleucus" "2378.62" 0 0 0 100 0 0 0 0 0
"235" "Glaucidium_minutissimum" "50" 1 0 0 90 10 0 0 0 0
"236" "Glaucidium_mooreorum" "51" 1 0 0 80 10 10 0 0 0
"237" "Glaucis_dohrnii" "5.8" 0 0 0 0 100 0 0 0 0
"238" "Glaucis_hirsutus" "6.76" 0 0 0 0 100 0 0 0 0
"239" "Gnorimopsar_chopi" "65.9" 0 0 0 60 10 30 0 0 0
"240" "Grallaria_varia" "119" 0 0 0 100 0 0 0 0 0
"241" "Gubernetes_yetapa" "68.4" 0 0 0 80 20 0 0 0 0
"242" "Guira_guira" "141" 0 0 0 70 20 10 0 0 0
"243" "Harpagus_diodon" "200" 0 0 0 0 0 70 0 30 0
"244" "Heliactin_bilophus" "4.4" 0 0 0 0 50 50 0 0 0
"245" "Heliobletus_contaminatus" "14" 0 0 0 0 0 50 50 0 0
"246" "Heliomaster_furcifer" "5.4" 0 0 0 0 20 80 0 0 0
"247" "Heliomaster_squamosus" "5.9" 0 0 0 0 0 100 0 0 0
"248" "Heliothryx_auritus" "5.4" 0 0 0 0 0 50 40 10 0
"249" "Hemithraupis_flavicollis" "12.8" 0 0 0 0 0 20 80 0 0
"250" "Hemithraupis_guira" "12" 0 0 0 0 0 10 90 0 0
"251" "Hemithraupis_ruficapilla" "11" 0 0 0 0 0 10 90 0 0
"252" "Hemitriccus_diops" "10" 0 0 0 0 100 0 0 0 0
"253" "Hemitriccus_furcatus" "8.64" 0 0 0 0 50 50 0 0 0
"254" "Hemitriccus_griseipectus" "8.9" 0 0 0 0 0 100 0 0 0
"255" "Hemitriccus_kaempferi" "8.64" 0 0 0 0 80 20 0 0 0
"256" "Hemitriccus_margaritaceiventer" "8.4" 0 0 0 0 40 60 0 0 0
"257" "Hemitriccus_mirandae" "8.64" 0 0 0 0 10 90 0 0 0
"258" "Hemitriccus_nidipendulus" "7.5" 0 0 0 0 80 20 0 0 0
"259" "Hemitriccus_obsoletus" "11.6" 0 0 0 0 80 20 0 0 0
"260" "Hemitriccus_orbitatus" "9.7" 0 0 0 0 40 60 0 0 0
"261" "Hemitriccus_striaticollis" "8.6" 0 0 0 0 0 100 0 0 0
"262" "Herpsilochmus_atricapillus" "9.85" 0 0 0 0 0 100 0 0 0
"263" "Herpsilochmus_longirostris" "12.8" 0 0 0 0 30 70 0 0 0
"264" "Herpsilochmus_pectoralis" "10.86" 0 0 0 0 0 100 0 0 0
"265" "Herpsilochmus_pileatus" "8.9" 0 0 0 0 0 70 30 0 0
"266" "Herpsilochmus_rufimarginatus" "10.58" 0 0 0 0 0 100 0 0 0
"267" "Herpsilochmus_sellowi" "7.5" 0 0 0 0 30 70 0 0 0
"268" "Hydropsalis_torquata" "58.5" 1 0 20 20 20 20 0 20 0
"269" "Hylocharis_chrysura" "4.5" 0 0 0 0 20 40 30 10 0
"270" "Hylocharis_cyanus" "3.3" 0 0 0 10 30 30 30 0 0
"271" "Hylopezus_nattereri" "32" 0 0 0 100 0 0 0 0 0
"272" "Hylopezus_ochroleucus" "28" 0 0 0 100 0 0 0 0 0
"273" "Hylophilus_amaurocephalus" "11.59" 0 0 0 0 30 30 40 0 0
"274" "Hymenops_perspicillatus" "22.9" 0 0 0 100 0 0 0 0 0
"275" "Hypoedaleus_guttatus" "38.8" 0 0 0 0 0 100 0 0 0
"276" "Ibycter_americanus" "624" 0 0 0 10 20 50 20 0 0
"277" "Icterus_jamacaii" "71.81" 0 0 0 20 50 30 0 0 0
"278" "Ictinia_mississippiensis" "276.03" 0 0 0 10 10 10 10 60 0
"279" "Ictinia_plumbea" "249.9" 0 0 0 0 0 0 20 80 0
"280" "Ilicura_militaris" "12.7" 0 0 0 0 50 50 0 0 0
"281" "Inezia_inornata" "12" 0 0 0 0 33 33 33 0 0
"282" "Iodopleura_pipra" "10.03" 0 0 0 0 0 100 0 0 0
"283" "Ixobrychus_exilis" "86.29" 0 0 50 50 0 0 0 0 0
"284" "Ixobrychus_involucris" "80.1" 0 0 80 20 0 0 0 0 0
"285" "Jacamaralcyon_tridactyla" "18.3" 0 0 0 0 50 50 0 0 0
"286" "Jacana_jacana" "106.24" 0 0 50 50 0 0 0 0 0
"287" "Knipolegus_cyanirostris" "15.4" 0 0 0 0 100 0 0 0 0
"288" "Knipolegus_lophotes" "31.8" 0 0 0 50 50 0 0 0 0
"289" "Knipolegus_nigerrimus" "20.3" 0 0 0 50 50 0 0 0 0
"290" "Laniisoma_elegans" "47.4" 0 0 0 50 50 0 0 0 0
"291" "Laniocera_hypopyrra" "51" 0 0 0 0 50 50 0 0 0
"292" "Larus_cirrocephalus" "374.69" 0 20 40 40 0 0 0 0 0
"293" "Larus_maculipennis" "339" 0 0 20 60 20 0 0 0 0
"294" "Laterallus_leucopyrrhus" "45.5" 0 0 0 100 0 0 0 0 0
"295" "Laterallus_melanophaius" "52.1" 0 0 50 50 0 0 0 0 0
"296" "Laterallus_xenopterus" "56.9" 0 0 30 70 0 0 0 0 0
"297" "Lathrotriccus_euleri" "11.33" 0 0 0 0 100 0 0 0 0
