"sp" "Body_size_mm" "Diu" "Noc" "Crepu" "Fos" "Ter" "Aqu" "Arb"
"230" "Hypsiboas_pardalis" "75" 0 1 0 0 1 1 1
"231" "Hypsiboas_polytaenius" "41.5" 0 1 0 0 1 0 1
"232" "Hypsiboas_pombali" "65.7" 0 1 0 0 1 0 1
"233" "Hypsiboas_prasinus" "55" 0 1 0 0 1 0 1
"234" "Hypsiboas_pulchellus" "50" 0 1 0 0 1 1 0
"235" "Hypsiboas_punctatus" "41.7" 0 1 0 0 1 0 1
"236" "Hypsiboas_raniceps" "82" 0 1 0 0 1 0 1
"237" "Hypsiboas_secedens" "57" 0 1 0 0 1 1 1
"238" "Hypsiboas_semiguttatus" "48" 0 1 0 0 1 1 1
"239" "Hypsiboas_semilineatus" "52" 0 1 0 0 1 1 1
"240" "Hypsiboas_stellae" "56" 0 1 0 0 1 0 1
"242" "Ischnocnema_abdita" "15.7" 1 1 0 0 1 0 0
"243" "Ischnocnema_bolbodactyla" "19" 1 1 0 0 1 0 0
"248" "Ischnocnema_guentheri" "40" 0 1 1 0 1 0 1
"249" "Ischnocnema_henselii" "36.45" 1 1 0 0 1 0 1
"251" "Ischnocnema_holti" "31.7" 0 1 0 0 1 0 1
"253" "Ischnocnema_juipoca" "26.26" 0 1 1 0 1 0 0
"255" "Ischnocnema_manezinho" "34.8" 0 1 0 0 1 0 0
"258" "Ischnocnema_nigriventris" "19" 0 1 1 0 1 0 0
"259" "Ischnocnema_octavioi" "24.3" 0 1 1 0 1 0 0
"261" "Ischnocnema_parva" "25.5" 1 1 1 0 1 0 0
"262" "Ischnocnema_penaxavantinho" "20.7" 0 0 1 0 1 0 0
"265" "Ischnocnema_sambaqui" "40" 0 1 0 0 1 0 0
"266" "Ischnocnema_spanios" "21.4" 1 0 0 0 1 0 0
"269" "Ischnocnema_verrucosa" "24" 0 1 0 0 1 1 0
"270" "Itapotihyla_langsdorffii" "112" 1 1 0 0 1 0 0
"272" "Leptodactylus_caatingae" "35.3" 1 1 0 1 1 1 0
"273" "Leptodactylus_camaquara" "38" 1 0 0 0 1 1 0
"274" "Leptodactylus_chaquensis" "82" 0 1 0 0 1 1 0
"275" "Leptodactylus_cunicularius" "46" 0 1 1 0 1 1 0
"276" "Leptodactylus_cupreus" "55" 0 1 0 0 1 1 0
"277" "Leptodactylus_elenae" "50" 0 1 0 1 1 1 0
"278" "Leptodactylus_flavopictus" "134.9" 1 0 0 0 1 1 0
"279" "Leptodactylus_furnarius" "44" 1 1 0 1 1 1 0
"280" "Leptodactylus_fuscus" "46" 1 1 0 0 1 1 0
"281" "Leptodactylus_gracilis" "45.5" 1 0 0 0 1 1 0
"282" "Leptodactylus_hylodes" "25.3" 1 0 0 0 1 1 0
"284" "Leptodactylus_labyrinthicus" "158.5" 0 1 1 0 1 1 0
"285" "Leptodactylus_latinasus" "40" 1 0 0 0 1 1 0
"286" "Leptodactylus_latrans" "120" 1 1 0 0 1 1 0
"288" "Leptodactylus_mystaceus" "60" 1 1 0 1 1 1 0
"289" "Leptodactylus_mystacinus" "65" 1 1 0 1 1 1 0
"290" "Leptodactylus_natalensis" "44" 0 1 0 1 1 1 0
"291" "Leptodactylus_notoaktites" "50" 1 0 0 0 1 1 0
"292" "Leptodactylus_plaumanni" "46" 1 0 0 1 1 1 0
"293" "Leptodactylus_podicipinus" "54" 0 1 0 0 1 1 0
"295" "Leptodactylus_sertanejo" "55" 1 1 0 1 1 0 0
"296" "Leptodactylus_spixi" "43" 1 1 0 1 1 1 0
"297" "Leptodactylus_syphax" "82" 0 1 1 1 1 1 0
"298" "Leptodactylus_troglodytes" "53.6" 0 1 1 1 1 1 0
"299" "Leptodactylus_vastus" "250" 1 0 0 0 1 1 0
"300" "Leptodactylus_viridis" "72" 1 0 0 0 1 1 0
"301" "Limnomedusa_macroglossa" "54" 0 1 0 0 1 1 1
"302" "Rana_palmipes" "126" 1 1 0 0 1 1 0
"303" "Lysapsus_limellum" "24.8" 1 1 1 0 0 1 1
"304" "Macrogenioglottus_alipioi" "113.8" 0 1 0 0 1 1 1
"306" "Megaelosia_bocainensis" "66.7" 1 0 0 0 1 1 1
"308" "Megaelosia_goeldii" "121" 1 0 0 0 1 1 0
"310" "Megaelosia_lutzae" "92.5" 1 0 0 0 1 1 0
"311" "Megaelosia_massarti" "123.9" 1 0 0 0 1 1 1
"312" "Melanophryniscus_admirabilis" "40.8" 1 0 0 0 1 1 0
"313" "Melanophryniscus_atroluteus" "28" 1 0 0 1 1 1 0
