"V1" "V2" "id"
"190" -49.399663561 -21.62276882 581
"191" -49.399663561 -22.12276882 582
"192" -49.399663561 -23.12276882 584
"193" -49.399663561 -23.62276882 585
"194" -49.399663561 -24.62276882 587
"195" -49.399663561 -25.12276882 588
"196" -49.399663561 -25.62276882 589
"197" -49.399663561 -26.12276882 590
"198" -49.399663561 -26.62276882 591
"199" -49.399663561 -27.12276882 592
"200" -49.399663561 -27.62276882 593
"201" -49.399663561 -28.12276882 594
"202" -49.399663561 -28.62276882 595
"203" -48.899663561 -18.12276882 620
"204" -48.899663561 -18.62276882 621
"205" -48.899663561 -20.62276882 625
"206" -48.899663561 -21.12276882 626
"207" -48.899663561 -21.62276882 627
"208" -48.899663561 -22.12276882 628
"209" -48.899663561 -24.12276882 632
"210" -48.899663561 -24.62276882 633
"211" -48.899663561 -25.12276882 634
"212" -48.899663561 -25.62276882 635
"213" -48.899663561 -26.12276882 636
"214" -48.899663561 -26.62276882 637
"215" -48.899663561 -27.12276882 638
"216" -48.899663561 -27.62276882 639
"217" -48.899663561 -28.12276882 640
"218" -48.899663561 -28.62276882 641
"219" -48.399663561 -18.12276882 666
"220" -48.399663561 -18.62276882 667
"221" -48.399663561 -22.12276882 674
"222" -48.399663561 -23.12276882 676
"223" -48.399663561 -23.62276882 677
"224" -48.399663561 -24.12276882 678
"225" -48.399663561 -24.62276882 679
"226" -48.399663561 -25.12276882 680
"227" -48.399663561 -25.62276882 681
"228" -47.899663561 -23.12276882 722
"229" -47.899663561 -23.62276882 723
"230" -47.899663561 -24.12276882 724
"231" -47.899663561 -24.62276882 725
"232" -47.899663561 -25.12276882 726
"233" -47.399663561 -21.62276882 765
"234" -47.399663561 -22.12276882 766
"235" -47.399663561 -22.62276882 767
"236" -47.399663561 -23.12276882 768
"237" -47.399663561 -23.62276882 769
"238" -47.399663561 -24.12276882 770
"239" -47.399663561 -24.62276882 771
"240" -46.899663561 -20.62276882 809
"241" -46.899663561 -21.12276882 810
"242" -46.899663561 -21.62276882 811
"243" -46.899663561 -22.62276882 813
"244" -46.899663561 -23.12276882 814
"245" -46.899663561 -23.62276882 815
"246" -46.899663561 -24.12276882 816
"247" -46.399663561 -21.12276882 856
"248" -46.399663561 -21.62276882 857
"249" -46.399663561 -22.12276882 858
"250" -46.399663561 -22.62276882 859
"251" -46.399663561 -23.12276882 860
"252" -46.399663561 -23.62276882 861
"253" -45.899663561 -21.12276882 902
"254" -45.899663561 -21.62276882 903
"255" -45.899663561 -22.12276882 904
"256" -45.899663561 -22.62276882 905
"257" -45.899663561 -23.12276882 906
"258" -45.899663561 -23.62276882 907
"259" -45.399663561 -20.12276882 946
"260" -45.399663561 -20.62276882 947
"261" -45.399663561 -21.12276882 948
"262" -45.399663561 -21.62276882 949
"263" -45.399663561 -22.12276882 950
"264" -45.399663561 -22.62276882 951
"265" -45.399663561 -23.12276882 952
"266" -45.399663561 -23.62276882 953
"267" -44.899663561 -19.62276882 991
"268" -44.899663561 -20.62276882 993
"269" -44.899663561 -21.12276882 994
"270" -44.899663561 -21.62276882 995
"271" -44.899663561 -22.12276882 996
"272" -44.899663561 -22.62276882 997
"273" -44.899663561 -23.12276882 998
"274" -44.399663561 -20.12276882 1038
"275" -44.399663561 -20.62276882 1039
"276" -44.399663561 -21.12276882 1040
"277" -44.399663561 -21.62276882 1041
"278" -44.399663561 -22.12276882 1042
"279" -44.399663561 -22.62276882 1043
"280" -43.899663561 -20.12276882 1084
"281" -43.899663561 -20.62276882 1085
"282" -43.899663561 -21.12276882 1086
"283" -43.899663561 -21.62276882 1087
"284" -43.899663561 -22.12276882 1088
"285" -43.899663561 -22.62276882 1089
"286" -43.399663561 -18.62276882 1127
"287" -43.399663561 -19.12276882 1128
"288" -43.399663561 -19.62276882 1129
